name,activity,imagining,probability_A,probability_B,probability_C,probability_D,time_A,time_B,time_C,time_D,A_min,A_max,A_mean,A_std,B_min,B_max,B_mean,B_std,C_min,C_max,C_mean,C_std,D_min,D_max,D_mean,D_std,P_A_A,P_A_B,P_A_C,P_A_D,P_B_A,P_B_B,P_B_C,P_B_D,P_C_A,P_C_B,P_C_C,P_C_D,P_D_A,P_D_B,P_D_C,P_D_D,GEV_total,GEV_A,GEV_B,GEV_C,GEV_D,max_entropy,entropy,mc_entropy
P19,Successful,guided,0.24094736842105263,0.3270526315789474,0.11073684210526316,0.32126315789473686,9.156,12.428,4.208,12.208,0.016,0.3160000000000002,0.054177514792899444,0.04301084730088126,0.016,0.2600000000000002,0.05807476635514022,0.04407251902667498,0.016,0.3000000000000002,0.06787096774193552,0.06381411611228753,0.016,0.32000000000000023,0.05926213592233012,0.04784845842948983,0.926168632590651,0.03713411970292704,0.0061162079510703364,0.03058103975535168,0.025434642627173213,0.9314230521571153,0.005473277527366388,0.03766902768834514,0.019011406844106463,0.021863117870722433,0.94106463878327,0.01806083650190114,0.022935779816513763,0.034403669724770644,0.010157273918741808,0.9325032765399738,0.6183084206001361,0.2169093896172406,0.21256537391024238,0.08630093517733067,0.10253272189532245,2.0,1.8999079628540922,0.45389727245757566
P19,Successful,self-guided,0.30446666666666666,0.3706,0.0332,0.29173333333333334,18.268,22.236,1.992,17.504,0.012,0.3000000000000002,0.05726645768025081,0.04426141887616796,0.016,0.2920000000000002,0.06058855585831066,0.046917890824139226,0.016,0.4240000000000003,0.07114285714285719,0.08096106396009771,0.016,0.2760000000000002,0.05288217522658613,0.03938309806751216,0.9301510838624918,0.03612874972629735,0.0013137727173199037,0.03240639369389096,0.033285354444044624,0.9341489744512415,0.0021590500179920835,0.030406621086721843,0.012048192771084338,0.01606425702811245,0.9437751004016064,0.028112449799196786,0.029021937842778792,0.0443327239488117,0.0022851919561243145,0.9243601462522852,0.7514149978121116,0.25491397560497026,0.3435778063307693,0.046736158497575106,0.10618705737879697,2.0,1.734671654400569,0.444358844117658
P19,Training,guided,0.34616216216216217,0.072,0.28378378378378377,0.29805405405405405,12.808,2.664,10.5,11.028,0.012,0.7840000000000006,0.0805534591194969,0.08518124574341047,0.02,0.3000000000000002,0.09866666666666672,0.07956921049790094,0.016,0.2840000000000002,0.06730769230769236,0.0495811450132851,0.016,0.36000000000000026,0.07352000000000004,0.05238151327838227,0.9503435352904435,0.0037476577139287947,0.0221736414740787,0.023735165521549032,0.010510510510510511,0.9594594594594594,0.016516516516516516,0.013513513513513514,0.03276190476190476,0.002285714285714286,0.9405714285714286,0.02438095238095238,0.023947750362844702,0.003265602322206096,0.026850507982583455,0.9459361393323658,0.6240505063502859,0.29066355366106916,0.04327255285504113,0.18878065743037825,0.10133374240379749,2.0,1.8392777866552708,0.3663776510263226
P19,Training,self-guided,0.2888,0.02266666666666667,0.40073333333333333,0.2878,17.328,1.36,24.044,17.268,0.016,0.2640000000000002,0.05500952380952384,0.04005626881278156,0.016,0.23600000000000018,0.07157894736842109,0.06585335845607727,0.012,0.32400000000000023,0.06394680851063834,0.04733445216916348,0.016,0.2680000000000002,0.056802631578947396,0.04194404786104378,0.9272853185595568,0.0011542012927054479,0.04293628808864266,0.028624192059095107,0.023529411764705882,0.9441176470588235,0.01764705882352941,0.014705882352941176,0.03194675540765391,0.001497504159733777,0.937603993344426,0.028951747088186357,0.026638869585360204,0.0011582117211026176,0.042622191336576326,0.9295807273569608,0.6562703194162235,0.224408871134117,0.02725712584363713,0.2857646874925263,0.11883963494594298,2.0,1.687141286332683,0.430958051131303
P19,Slow,guided,0.1909787234042553,0.34995744680851065,0.17702127659574468,0.28204255319148935,8.976,16.448,8.32,13.256,0.016,0.24000000000000019,0.06748872180451132,0.05430831179428402,0.012,0.24000000000000019,0.06400000000000004,0.0467422770832367,0.016,0.2440000000000002,0.049820359281437146,0.034897850145547624,0.012,0.20400000000000015,0.05281274900398409,0.036288913676074584,0.9407308377896613,0.0213903743315508,0.017379679144385027,0.020499108734402853,0.01313549014838239,0.9377280467039649,0.016540987594259305,0.03259547555339334,0.01875,0.027403846153846154,0.9197115384615384,0.03413461538461538,0.012070006035003017,0.04556427278213639,0.018105009052504527,0.9242607121303561,0.48848156036440693,0.11930896779214734,0.18271344359299524,0.08326775474453572,0.10319139423472865,2.0,1.9434674124893043,0.46107567130590243
P19,Slow,self-guided,0.0744,0.4600666666666667,0.13013333333333332,0.3354,4.464,27.604,7.807999999999999,20.124,0.012,0.23600000000000018,0.047489361702127676,0.04390408905515285,0.012,0.36400000000000027,0.07114432989690726,0.058555549393350864,0.012,0.16000000000000011,0.03790291262135923,0.023856168754289583,0.012,0.3080000000000002,0.052000000000000025,0.03961572522060557,0.9157706093189965,0.047491039426523295,0.014336917562724014,0.022401433691756272,0.005797101449275362,0.9439130434782609,0.01318840579710145,0.03710144927536232,0.007684426229508197,0.04405737704918033,0.8944672131147541,0.053790983606557374,0.007751937984496124,0.04949314251639833,0.01967799642218247,0.9230769230769231,0.6214805812294943,0.058456274683543905,0.33284846924522243,0.05721588756644339,0.17295994973428463,2.0,1.7056560007042743,0.4593036179625958
P19,Start,guided,0.31957446808510637,0.17702127659574468,0.23497872340425532,0.2684255319148936,15.02,8.32,11.044,12.616,0.012,0.2920000000000002,0.05251748251748254,0.04091417815478963,0.012,0.16800000000000012,0.042448979591836744,0.023138501551760192,0.012,0.20400000000000015,0.050894009216589896,0.03395134511441716,0.012,0.3120000000000002,0.05234854771784235,0.038758466990466034,0.9238348868175765,0.017576564580559253,0.0303595206391478,0.02822902796271638,0.03607503607503607,0.9062049062049062,0.022607022607022607,0.03511303511303511,0.038754074610648316,0.01774719304599783,0.9214052879391524,0.022093444404201378,0.032974001268230815,0.02568167406467977,0.017755231452124286,0.9235890932149651,0.6471965007374934,0.24027053815363336,0.07174518961195443,0.1668878458251594,0.16829292714674615,2.0,1.9684243955778309,0.5243688163468398
P19,Start,self-guided,0.21843478260869564,0.2791304347826087,0.15582608695652173,0.3466086956521739,10.048,12.84,7.167999999999999,15.943999999999999,0.012,0.19200000000000014,0.04331034482758623,0.027526919048358613,0.012,0.20800000000000016,0.04686131386861315,0.030287956817863403,0.012,0.12000000000000008,0.03733333333333335,0.018705317128797614,0.016,0.23200000000000018,0.0538648648648649,0.035267060017515464,0.9080047789725209,0.03185981680605336,0.022301871764237355,0.037833532457188374,0.025233644859813085,0.9146417445482866,0.017757009345794394,0.04236760124610592,0.032924107142857144,0.03850446428571429,0.8928571428571429,0.03571428571428571,0.02308078273958856,0.03135975915704967,0.019819367787255394,0.9257400903161064,0.6382312678843377,0.1575493349161829,0.14656146980423546,0.0936307567479675,0.24048970641595183,2.0,1.9410376324388818,0.5563332491238255
P19,Fitness,guided,0.22789189189189188,0.4345945945945946,0.2158918918918919,0.12162162162162163,8.432,16.08,7.988,4.5,0.016,0.35200000000000026,0.06110144927536236,0.049938554977711595,0.016,0.8160000000000006,0.0893333333333334,0.1088672994470282,0.016,0.25200000000000017,0.05625352112676058,0.04107626651364825,0.012,0.1520000000000001,0.04687500000000002,0.027109058295460356,0.9345351043643264,0.03178368121442125,0.017552182163187855,0.016129032258064516,0.018407960199004977,0.9552238805970149,0.018407960199004977,0.007960199004975124,0.01603206412825651,0.039579158316633264,0.9293587174348698,0.01503006012024048,0.027555555555555555,0.030222222222222223,0.027555555555555555,0.9146666666666666,0.7625881115984582,0.14639633165857646,0.4671557633190088,0.12064112335790551,0.02839489326296737,2.0,1.8558629954217611,0.4147400161570016
P19,Fitness,self-guided,0.27553333333333335,0.3194666666666667,0.2226,0.1824,16.532,19.168,13.356,10.944,0.016,0.32400000000000023,0.05492358803986713,0.03687111621644018,0.012,0.34000000000000025,0.06027672955974846,0.04892015210918692,0.016,0.19200000000000014,0.048567272727272744,0.028974691492877704,0.012,0.22400000000000017,0.04258365758754865,0.028899157242829595,0.9271715460924268,0.030002419549963705,0.02056617469150738,0.022259859666102104,0.028797996661101836,0.9336393989983306,0.020868113522537562,0.01669449081803005,0.023367285799880167,0.033553025763930495,0.9179149191132414,0.025164769322947873,0.031067251461988302,0.029970760233918127,0.03289473684210526,0.9060672514619883,0.7671542560372906,0.16745327157986667,0.40158536629631697,0.14549272944779823,0.052622888713308766,2.0,1.9685751562935125,0.5093436011459299
